billing_class,billing_code, billing_code_type, billing_code_modifier
"professional","58100","CPT","[]"
"professional","95801","CPT","['U1']"
"institutional","21012","CPT","[]"
"professional","43425","CPT","[]"
"professional","L5700","HCPCS","[]"
"professional","76377","CPT","[]"
"professional","10021","CPT","['26']"
"professional","58545","CPT","['U1']"
"professional","L2425","HCPCS","['NU']"
"institutional","21935","CPT","[]"
"professional","48150","CPT","['U1']"
"professional","27245","CPT","[]"
"professional","24586","CPT","[]"
"professional","90863","CPT","['G0']"
"professional","16025","CPT","[]"
"professional","33268","CPT","['TC']"
"institutional","69910","CPT","[]"
"professional","61450","CPT","['U1']"
"professional","69300","CPT","['U1']"
"professional","63308","CPT","[]"
"professional","42509","CPT","[]"
"professional","84450","CPT","['26']"
"professional","64634","CPT","['U1']"
"professional","A4625","HCPCS","['NU']"
"professional","26045","CPT","['U1']"
"professional","36450","CPT","['U1']"
"professional","E1811","HCPCS","['KI']"
"professional","G0442","HCPCS","[]"
"professional","80186","CPT","['26']"
"institutional","33212","CPT","[]"
"professional","94660","CPT","[]"
"institutional","33206","CPT","[]"
"professional","59320","CPT","[]"
"professional","87516","CPT","['27']"
"institutional","69726","CPT","[]"
"institutional","33517","CPT","[]"
"professional","E0911","HCPCS","['UE']"
"professional","78216","CPT","['27']"
"professional","80349","CPT","['TC']"
"professional","70546","CPT","['27']"
"institutional","33503","CPT","[]"
"professional","0335U","CPT","[]"
"professional","K0017","HCPCS","['RR','UE','KE']"
"professional","L5979","HCPCS","[]"
"professional","77086","CPT","['TC']"
"professional","93226","CPT","['26']"
"professional","84681","CPT","['26']"
"professional","31633","CPT","['U1']"
"professional","86698","CPT","['TC']"
"professional","E1237","HCPCS","['NU']"
"professional","27468","CPT","['U1']"
"professional","83633","CPT","['26']"
"professional","99498","CPT","['GT']"
"professional","63275","CPT","[]"
"professional","88025","CPT","['27']"
"professional","99214","CPT","['95']"
"institutional","0510T","CPT","[]"
"professional","86593","CPT","[]"
"professional","77307","CPT","['26']"
"professional","26118","CPT","[]"
"professional","E0585","HCPCS","['NU']"
"professional","59151","CPT","[]"
"professional","80198","CPT","['TC']"
"institutional","31502","CPT","[]"
"professional","85250","CPT","[]"
"professional","53235","CPT","[]"
"professional","A7525","HCPCS","[]"
"professional","92594","CPT","['26']"
"professional","61796","CPT","[]"
"professional","S2209","HCPCS","[]"
"professional","54512","CPT","['U1']"
"professional","G0277","HCPCS","[]"
"professional","95861","CPT","['27']"
"institutional","23920","CPT","[]"
"professional","L5646","HCPCS","['NU']"
"professional","0217U","CPT","[]"
"professional","86910","CPT","['27']"
"professional","75889","CPT","[]"
"institutional","43335","CPT","[]"
"professional","G9132","HCPCS","[]"
"institutional","19110","CPT","[]"
"professional","87901","CPT","['TC']"
"professional","Q2053","HCPCS","[]"
"professional","Q4261","HCPCS","[]"
"institutional","58120","CPT","[]"
"professional","55899","CPT","[]"
"professional","44660","CPT","['U1']"
"professional","A6524","HCPCS","[]"
"professional","90940","CPT","['26']"
"professional","76936","CPT","['TC']"
"institutional","55520","CPT","[]"
"institutional","G0104","HCPCS","[]"
"institutional","35606","CPT","[]"
"professional","G0317","HCPCS","['GQ']"
"professional","L8415","HCPCS","['NU']"
"professional","80173","CPT","[]"
"professional","E1270","HCPCS","['UE']"
"institutional","35612","CPT","[]"
"professional","42160","CPT","['U1']"
"institutional","38206","CPT","[]"
"professional","59820","CPT","[]"
"institutional","35103","CPT","[]"
"institutional","38212","CPT","[]"
"institutional","27412","CPT","[]"
"professional","73725","CPT","['U1']"
"professional","A4393","HCPCS","['NU']"
"professional","L6380","HCPCS","[]"
"professional","43265","CPT","[]"
"professional","Q4239","HCPCS","[]"
"professional","E1550","HCPCS","['NU']"
"professional","J9030","HCPCS","[]"
"professional","58740","CPT","[]"
"professional","27709","CPT","[]"
"professional","81353","CPT","[]"
"professional","68700","CPT","[]"
"professional","86780","CPT","['QW']"
"institutional","0964","MS-DRG","[]"
"institutional","27303","CPT","[]"
"professional","73225","CPT","[]"
"professional","81003","CPT","['TC']"
"institutional","ECG","CSTM-ALL","[]"
"institutional","DD25DZZ","ICD","[]"
"professional","65430","CPT","['U1']"
"professional","92609","CPT","['95']"
"institutional","47720","CPT","[]"
"professional","K0850","HCPCS","['UE']"
"professional","80430","CPT","['26']"
"professional","88360","CPT","['26']"
"professional","35587","CPT","[]"
"professional","E2321","HCPCS","['RR','UE','KC']"
"professional","87482","CPT","['26']"
"professional","90833","CPT","['TF','TD']"
"professional","27405","CPT","[]"
"professional","0459U","CPT","[]"
"institutional","0190","RC","[]"
"professional","T2025","HCPCS","[]"
"professional","L1020","HCPCS","[]"
"professional","93790","CPT","['26']"
"professional","99485","CPT","['U1']"
"professional","67107","CPT","[]"
"professional","S0176","HCPCS","[]"
"professional","96367","CPT","['U1']"
"professional","88230","CPT","['TC']"
"institutional","0745","MS-DRG","[]"
"institutional","25316","CPT","[]"
"professional","46706","CPT","[]"
"professional","E0618","HCPCS","[]"
"professional","83516","CPT","['U1']"
"professional","84630","CPT","[]"
"professional","28202","CPT","[]"
"professional","0273U","CPT","[]"
"professional","27090","CPT","['U1']"
"professional","V5014","HCPCS","[]"
"professional","87653","CPT","['26']"
"professional","E0276","HCPCS","['RR']"
"professional","87271","CPT","['27']"
"professional","25246","CPT","['U1']"
"professional","L6694","HCPCS","['NU']"
"institutional","57230","CPT","[]"
"professional","32507","CPT","[]"
"institutional","0DW64CZ","ICD","[]"
"professional","0351U","CPT","[]"
"professional","E0956","HCPCS","['NU']"
"professional","L1834","HCPCS","[]"
"professional","37215","CPT","[]"
"institutional","0TF7XZZ","ICD","[]"
"professional","49185","CPT","['U1']"
"professional","E0640","HCPCS","[]"
"professional","33978","CPT","['U1']"
"professional","0588T","CPT","[]"
"professional","E2377","HCPCS","['KI']"
"professional","0385U","CPT","[]"
"professional","45303","CPT","['U1']"
"professional","78110","CPT","[]"
"institutional","37607","CPT","[]"
"professional","64836","CPT","['U1']"
"professional","85410","CPT","[]"
"professional","50572","CPT","['U1']"
"professional","48150","CPT","[]"
