billing_class,billing_code,billing_code_type,billing_code_modifier,verdict,rule,reason
professional,S4042,HCPCS,[],ALLOW,ok,
professional,53860,CPT,['U1'],ALLOW,ok,
professional,L9900,HCPCS,['NU'],ALLOW,ok,
professional,25355,CPT,['U1'],ALLOW,ok,
professional,85305,CPT,['U1'],ALLOW,ok,
professional,75574,CPT,['26'],ALLOW,ok,
professional,49083,CPT,[],ALLOW,ok,
professional,73718,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,76391,CPT,['TC'],ALLOW,ok,
professional,74455,CPT,['U1'],ALLOW,ok,
professional,E0951,HCPCS,"['NU','RR','KE']",ALLOW,ok,
institutional,26210,CPT,[],ALLOW,ok,
professional,62252,CPT,['TC'],DENY,mod.pctc_no_split,modifier TC on a code with no professional/technical component split
professional,L0635,HCPCS,[],ALLOW,ok,
professional,88323,CPT,['TC'],ALLOW,ok,
professional,76010,CPT,['26'],ALLOW,ok,
professional,36224,CPT,['U1'],ALLOW,ok,
professional,0130U,CPT,[],ALLOW,ok,
professional,31296,CPT,['U1'],ALLOW,ok,
professional,21556,CPT,[],ALLOW,ok,
professional,A7504,HCPCS,[],ALLOW,ok,
professional,23455,CPT,['U1'],ALLOW,ok,
professional,E1841,HCPCS,[],ALLOW,ok,
professional,77423,CPT,['TC'],ALLOW,ok,
professional,93010,CPT,['U1'],ALLOW,ok,
professional,70491,CPT,['TC'],ALLOW,ok,
professional,H0047,HCPCS,['HG'],ALLOW,ok,
professional,55605,CPT,['U1'],ALLOW,ok,
professional,S9381,HCPCS,[],ALLOW,ok,
professional,E1700,HCPCS,['KI'],ALLOW,ok,
professional,76975,CPT,['26'],ALLOW,ok,
professional,33925,CPT,['U1'],ALLOW,ok,
professional,93975,CPT,['U1'],ALLOW,ok,
institutional,34701,CPT,[],ALLOW,ok,
institutional,63621,CPT,[],ALLOW,ok,
institutional,34715,CPT,[],ALLOW,ok,
professional,G9486,HCPCS,['GT'],ALLOW,ok,
professional,E0600,HCPCS,['UE'],ALLOW,ok,
professional,L8699,HCPCS,['NU'],ALLOW,ok,
professional,43510,CPT,['U1'],ALLOW,ok,
institutional,54336,CPT,[],ALLOW,ok,
professional,75833,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,50045,CPT,[],ALLOW,ok,
professional,83872,CPT,['TC'],ALLOW,ok,
professional,G9113,HCPCS,[],ALLOW,ok,
professional,K0823,HCPCS,['KJ'],ALLOW,ok,
institutional,54322,CPT,[],ALLOW,ok,
institutional,36005,CPT,[],ALLOW,ok,
institutional,61608,CPT,[],ALLOW,ok,
institutional,36011,CPT,[],ALLOW,ok,
professional,V2206,HCPCS,[],ALLOW,ok,
professional,25215,CPT,[],ALLOW,ok,
professional,E0960,HCPCS,"['NU','KE']",ALLOW,ok,
professional,L2080,HCPCS,['NU'],ALLOW,ok,
professional,25119,CPT,[],ALLOW,ok,
professional,50234,CPT,[],ALLOW,ok,
professional,80280,CPT,[],ALLOW,ok,
professional,55866,CPT,[],ALLOW,ok,
professional,E2607,HCPCS,['UE'],ALLOW,ok,
professional,76825,CPT,['TC'],ALLOW,ok,
professional,82803,CPT,['U1'],ALLOW,ok,
professional,E2206,HCPCS,['TC'],DENY,mod.pctc_no_split,modifier TC on a code with no professional/technical component split
institutional,44626,CPT,[],ALLOW,ok,
professional,E2362,HCPCS,['RR'],ALLOW,ok,
professional,87071,CPT,[],ALLOW,ok,
professional,78291,CPT,['26'],ALLOW,ok,
professional,J1560,HCPCS,[],ALLOW,ok,
institutional,29827,CPT,[],ALLOW,ok,
professional,43196,CPT,[],ALLOW,ok,
professional,87591,CPT,['26'],ALLOW,ok,
institutional,0W4M0J0,ICD,[],ALLOW,ok,
professional,64746,CPT,[],ALLOW,ok,
professional,76140,CPT,['TC'],ALLOW,ok,
professional,94761,CPT,['TC'],ALLOW,ok,
professional,88273,CPT,['26'],ALLOW,ok,
institutional,44137,CPT,[],ALLOW,ok,
professional,E2373,HCPCS,[],ALLOW,ok,
professional,40819,CPT,[],ALLOW,ok,
professional,21452,CPT,['U1'],ALLOW,ok,
professional,79101,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,93452,CPT,['26'],ALLOW,ok,
professional,00126,CPT,[],ALLOW,ok,
professional,37609,CPT,['U1'],ALLOW,ok,
professional,A4280,HCPCS,['NU'],ALLOW,ok,
professional,G6002,HCPCS,['26'],ALLOW,ok,
professional,78110,CPT,['TC'],ALLOW,ok,
professional,L5712,HCPCS,['UE'],ALLOW,ok,
institutional,24500,CPT,[],ALLOW,ok,
professional,L0976,HCPCS,['RR'],ALLOW,ok,
professional,L3766,HCPCS,['NU'],ALLOW,ok,
professional,85032,CPT,[],ALLOW,ok,
institutional,33322,CPT,[],ALLOW,ok,
professional,K0072,HCPCS,['UE'],ALLOW,ok,
institutional,33427,CPT,[],ALLOW,ok,
institutional,NUR1,CSTM-ALL,[],REVIEW,type.custom,"plan-specific custom code, not comparable across payers"
professional,54332,CPT,['U1'],ALLOW,ok,
professional,J9322,HCPCS,[],ALLOW,ok,
professional,63017,CPT,[],ALLOW,ok,
institutional,69602,CPT,[],ALLOW,ok,
professional,92950,CPT,['TC'],ALLOW,ok,
professional,16036,CPT,[],ALLOW,ok,
institutional,4A023FZ,ICD,[],ALLOW,ok,
professional,E2311,HCPCS,"['NU','UE','KE']",ALLOW,ok,
professional,G2086,HCPCS,['GQ'],ALLOW,ok,
professional,K0019,HCPCS,"['RR','UE','KE']",ALLOW,ok,
institutional,53010,CPT,[],ALLOW,ok,
professional,38241,CPT,[],ALLOW,ok,
institutional,0BBD8ZZ,ICD,[],ALLOW,ok,
professional,L2800,HCPCS,[],ALLOW,ok,
institutional,0262,MS-DRG,[],ALLOW,ok,
institutional,21811,CPT,[],ALLOW,ok,
professional,80439,CPT,['26'],ALLOW,ok,
professional,88369,CPT,['26'],ALLOW,ok,
professional,86277,CPT,['26'],ALLOW,ok,
professional,93295,CPT,['U1'],ALLOW,ok,
professional,K0859,HCPCS,['UE'],ALLOW,ok,
professional,22804,CPT,[],ALLOW,ok,
professional,21406,CPT,['U1'],ALLOW,ok,
professional,27248,CPT,['U1'],ALLOW,ok,
institutional,DB25HZZ,ICD,[],ALLOW,ok,
professional,27256,CPT,[],ALLOW,ok,
professional,83013,CPT,['26'],ALLOW,ok,
professional,63277,CPT,['U1'],ALLOW,ok,
professional,Q4173,HCPCS,[],ALLOW,ok,
professional,G0566,HCPCS,['TC'],ALLOW,ok,
professional,33305,CPT,[],ALLOW,ok,
professional,93024,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,78456,CPT,['U1'],ALLOW,ok,
professional,81500,CPT,[],ALLOW,ok,
institutional,21122,CPT,[],ALLOW,ok,
professional,52277,CPT,[],ALLOW,ok,
professional,27306,CPT,['U1'],ALLOW,ok,
professional,J0873,HCPCS,[],ALLOW,ok,
professional,L1290,HCPCS,['UE'],ALLOW,ok,
professional,82383,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,L8642,HCPCS,[],ALLOW,ok,
professional,95913,CPT,[],ALLOW,ok,
professional,G9985,HCPCS,['G0'],ALLOW,ok,
institutional,21627,CPT,[],ALLOW,ok,
professional,A9531,HCPCS,['NU'],ALLOW,ok,
professional,E0900,HCPCS,['26'],DENY,mod.pctc_no_split,modifier 26 on a code with no professional/technical component split
professional,87278,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
institutional,43500,CPT,[],ALLOW,ok,
institutional,43239,CPT,[],ALLOW,ok,
professional,27027,CPT,[],ALLOW,ok,
professional,73220,CPT,['26'],ALLOW,ok,
institutional,43205,CPT,[],ALLOW,ok,
professional,88377,CPT,['TC'],ALLOW,ok,
professional,86635,CPT,['U1'],ALLOW,ok,
professional,84270,CPT,['26'],ALLOW,ok,
professional,87495,CPT,['TC'],ALLOW,ok,
professional,26665,CPT,['U1'],ALLOW,ok,
institutional,43211,CPT,[],ALLOW,ok,
institutional,19020,CPT,[],ALLOW,ok,
professional,96168,CPT,['G0'],ALLOW,ok,
professional,67570,CPT,['U1'],ALLOW,ok,
professional,25301,CPT,['U1'],ALLOW,ok,
professional,87336,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,88239,CPT,['TC'],ALLOW,ok,
professional,J0652,HCPCS,[],ALLOW,ok,
professional,92547,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,38220,CPT,['U1'],ALLOW,ok,
professional,43647,CPT,[],ALLOW,ok,
professional,33278,CPT,[],ALLOW,ok,
professional,87187,CPT,['U1'],ALLOW,ok,
professional,78014,CPT,['26'],ALLOW,ok,
professional,82570,CPT,['26'],ALLOW,ok,
professional,E0983,HCPCS,['KI'],ALLOW,ok,
professional,28635,CPT,['U1'],ALLOW,ok,
professional,93799,CPT,['26'],ALLOW,ok,
institutional,0457,MS-DRG,[],ALLOW,ok,
professional,63266,CPT,[],ALLOW,ok,
professional,AOB1,CSTM-ALL,[],REVIEW,type.custom,"plan-specific custom code, not comparable across payers"
professional,C9488,HCPCS,[],DENY,range.prof_c_code,C-codes are OPPS hospital-outpatient (institutional) only
professional,11720,CPT,['U1'],ALLOW,ok,
professional,86580,CPT,[],ALLOW,ok,
professional,E1238,HCPCS,['KH'],ALLOW,ok,
professional,G9982,HCPCS,['95'],ALLOW,ok,
professional,33971,CPT,['U1'],ALLOW,ok,
professional,A5510,HCPCS,[],ALLOW,ok,
institutional,51700,CPT,[],ALLOW,ok,
professional,0048U,CPT,[],ALLOW,ok,
professional,23515,CPT,[],ALLOW,ok,
professional,0645T,CPT,[],ALLOW,ok,
professional,50435,CPT,['U1'],ALLOW,ok,
institutional,51728,CPT,[],ALLOW,ok,
professional,82979,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,0691T,CPT,[],ALLOW,ok,
professional,99175,CPT,[],ALLOW,ok,
professional,67405,CPT,['U1'],ALLOW,ok,
professional,E0244,HCPCS,['RR'],ALLOW,ok,
professional,25274,CPT,['U1'],ALLOW,ok,
professional,99401,CPT,['CR'],ALLOW,ok,
professional,35661,CPT,['U1'],ALLOW,ok,
professional,54435,CPT,[],ALLOW,ok,
professional,83036,CPT,['TC'],ALLOW,ok,
professional,A6248,HCPCS,[],ALLOW,ok,
professional,84481,CPT,[],ALLOW,ok,
professional,K0823,HCPCS,['KH'],ALLOW,ok,
professional,28740,CPT,['U1'],ALLOW,ok,
professional,82784,CPT,['TC'],ALLOW,ok,
professional,81161,CPT,['26'],ALLOW,ok,
professional,61305,CPT,['U1'],ALLOW,ok,
institutional,27618,CPT,[],ALLOW,ok,
professional,0481U,CPT,[],ALLOW,ok,
professional,00215,CPT,[],ALLOW,ok,
professional,40830,CPT,['U1'],ALLOW,ok,
institutional,0150,RC,[],ALLOW,ok,
professional,0455U,CPT,[],ALLOW,ok,
professional,76513,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
institutional,27630,CPT,[],ALLOW,ok,
professional,84305,CPT,['26'],ALLOW,ok,
professional,L2850,HCPCS,['RR'],ALLOW,ok,
professional,A6210,HCPCS,[],ALLOW,ok,
institutional,0644,MS-DRG,[],ALLOW,ok,
professional,C8928,HCPCS,[],DENY,range.prof_c_code,C-codes are OPPS hospital-outpatient (institutional) only
institutional,62201,CPT,[],ALLOW,ok,
institutional,35321,CPT,[],ALLOW,ok,
professional,50540,CPT,['U1'],ALLOW,ok,
professional,58210,CPT,['U1'],ALLOW,ok,
professional,L2370,HCPCS,['NU'],ALLOW,ok,
professional,G2009,HCPCS,[],ALLOW,ok,
professional,E0110,HCPCS,['26'],DENY,mod.pctc_no_split,modifier 26 on a code with no professional/technical component split
institutional,55920,CPT,[],ALLOW,ok,
professional,25126,CPT,[],ALLOW,ok,
professional,45331,CPT,['U1'],ALLOW,ok,
professional,27889,CPT,['U1'],ALLOW,ok,
professional,31075,CPT,[],ALLOW,ok,
professional,E1093,HCPCS,['UE'],ALLOW,ok,
professional,83670,CPT,[],ALLOW,ok,
professional,86162,CPT,[],ALLOW,ok,
institutional,LPN1,CSTM-ALL,[],REVIEW,type.custom,"plan-specific custom code, not comparable across payers"
professional,20975,CPT,['U1'],ALLOW,ok,
professional,E0193,HCPCS,['KI'],ALLOW,ok,
professional,19105,CPT,['U1'],ALLOW,ok,
professional,78804,CPT,['26'],ALLOW,ok,
professional,92975,CPT,['26'],ALLOW,ok,
professional,26494,CPT,[],ALLOW,ok,
institutional,60200,CPT,[],ALLOW,ok,
professional,15152,CPT,['U1'],ALLOW,ok,
institutional,0865,MS-DRG,[],ALLOW,ok,
institutional,0029,MS-DRG,[],ALLOW,ok,
professional,0389U,CPT,[],ALLOW,ok,
institutional,60505,CPT,[],ALLOW,ok,
professional,0584T,CPT,[],ALLOW,ok,
professional,E2398,HCPCS,[],ALLOW,ok,
professional,L1680,HCPCS,['RR'],ALLOW,ok,
professional,E2327,HCPCS,['TC'],DENY,mod.pctc_no_split,modifier TC on a code with no professional/technical component split
professional,97552,CPT,[],ALLOW,ok,
institutional,02HA0QZ,ICD,[],ALLOW,ok,
professional,E2374,HCPCS,"['UE','NU','KE']",ALLOW,ok,
professional,92240,CPT,[],ALLOW,ok,
professional,E0960,HCPCS,[],ALLOW,ok,
professional,G8826,HCPCS,[],ALLOW,ok,
institutional,0071,MS-DRG,[],ALLOW,ok,
professional,84255,CPT,['TC'],ALLOW,ok,
professional,94640,CPT,['TC'],ALLOW,ok,
professional,80402,CPT,['26'],ALLOW,ok,
professional,85244,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,45005,CPT,[],ALLOW,ok,
professional,T4523,HCPCS,[],ALLOW,ok,
professional,99374,CPT,['TC'],DENY,mod.pctc_no_split,modifier TC on a code with no professional/technical component split
professional,Q4360,HCPCS,[],ALLOW,ok,
institutional,B2141ZZ,ICD,[],ALLOW,ok,
professional,99304,CPT,[],ALLOW,ok,
professional,45309,CPT,[],ALLOW,ok,
institutional,28225,CPT,[],ALLOW,ok,
institutional,25120,CPT,[],ALLOW,ok,
professional,T1000,HCPCS,"['TD','TT','TE']",ALLOW,ok,
professional,86720,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,A9552,HCPCS,[],ALLOW,ok,
professional,15837,CPT,['U1'],ALLOW,ok,
professional,0472T,CPT,[],ALLOW,ok,
professional,E2324,HCPCS,"['NU','UE','KE']",ALLOW,ok,
professional,63302,CPT,['U1'],ALLOW,ok,
professional,42440,CPT,[],ALLOW,ok,
professional,E2386,HCPCS,['NU'],ALLOW,ok,
professional,72194,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,93572,CPT,['TC'],ALLOW,ok,
professional,79403,CPT,['TC'],ALLOW,ok,
institutional,66762,CPT,[],ALLOW,ok,
professional,T1001,HCPCS,[],ALLOW,ok,
professional,42900,CPT,[],ALLOW,ok,
institutional,ONC,CSTM-ALL,[],REVIEW,type.custom,"plan-specific custom code, not comparable across payers"
professional,E2321,HCPCS,"['UE','NU','KE']",ALLOW,ok,
professional,82554,CPT,['26'],ALLOW,ok,
institutional,0524T,CPT,[],ALLOW,ok,
professional,65782,CPT,['U1'],ALLOW,ok,
professional,38204,CPT,['U1'],ALLOW,ok,
professional,65290,CPT,[],ALLOW,ok,
professional,83718,CPT,['QW'],ALLOW,ok,
professional,78468,CPT,[],ALLOW,ok,
professional,33030,CPT,['U1'],ALLOW,ok,
institutional,0628T,CPT,[],ALLOW,ok,
institutional,0272,MS-DRG,[],ALLOW,ok,
professional,E1028,HCPCS,"['UE','RR','KE']",ALLOW,ok,
professional,23532,CPT,[],ALLOW,ok,
professional,94729,CPT,[],ALLOW,ok,
professional,26641,CPT,['U1'],ALLOW,ok,
professional,Q4163,HCPCS,[],ALLOW,ok,
institutional,51570,CPT,[],ALLOW,ok,
professional,E2390,HCPCS,"['NU','RR','KE']",ALLOW,ok,
professional,86611,CPT,['U1'],ALLOW,ok,
professional,63082,CPT,['U1'],ALLOW,ok,
institutional,66940,CPT,[],ALLOW,ok,
professional,E2396,HCPCS,"['RR','KE']",ALLOW,ok,
professional,36254,CPT,['U1'],ALLOW,ok,
professional,85018,CPT,['QW'],ALLOW,ok,
professional,33955,CPT,['U1'],ALLOW,ok,
professional,93898,CPT,[],ALLOW,ok,
professional,E2371,HCPCS,"['NU','UE','KE']",ALLOW,ok,
professional,27000,CPT,[],ALLOW,ok,
professional,28476,CPT,[],ALLOW,ok,
professional,35182,CPT,[],ALLOW,ok,
professional,L2810,HCPCS,[],ALLOW,ok,
professional,L7045,HCPCS,['NU'],ALLOW,ok,
institutional,43770,CPT,[],ALLOW,ok,
professional,17004,CPT,['U1'],ALLOW,ok,
professional,K0853,HCPCS,['KJ'],ALLOW,ok,
professional,58345,CPT,[],ALLOW,ok,
professional,73620,CPT,[],ALLOW,ok,
professional,E0271,HCPCS,['TC'],DENY,mod.pctc_no_split,modifier TC on a code with no professional/technical component split
professional,J9332,HCPCS,[],ALLOW,ok,
professional,E0670,HCPCS,['UE'],ALLOW,ok,
professional,20824,CPT,['U1'],ALLOW,ok,
professional,33322,CPT,[],ALLOW,ok,
professional,E0290,HCPCS,['26'],DENY,mod.pctc_no_split,modifier 26 on a code with no professional/technical component split
professional,A5500,HCPCS,[],ALLOW,ok,
professional,0805T,CPT,[],ALLOW,ok,
professional,15003,CPT,['U1'],ALLOW,ok,
professional,36430,CPT,[],ALLOW,ok,
professional,S9131,HCPCS,[],ALLOW,ok,
institutional,2W18X7Z,ICD,[],ALLOW,ok,
professional,L3982,HCPCS,[],ALLOW,ok,
professional,V2301,HCPCS,['RR'],ALLOW,ok,
professional,E2389,HCPCS,"['RR','UE','KE']",ALLOW,ok,
institutional,0447,MS-DRG,[],ALLOW,ok,
professional,K0056,HCPCS,['UE'],ALLOW,ok,
professional,E2365,HCPCS,"['NU','KE']",ALLOW,ok,
professional,59622,CPT,['U1'],ALLOW,ok,
professional,E2209,HCPCS,"['UE','RR','KE']",ALLOW,ok,
professional,E2623,HCPCS,"['NU','KE']",ALLOW,ok,
professional,84235,CPT,[],ALLOW,ok,
professional,52250,CPT,[],ALLOW,ok,
professional,54316,CPT,['U1'],ALLOW,ok,
professional,19285,CPT,['U1'],ALLOW,ok,
professional,S0274,HCPCS,[],ALLOW,ok,
institutional,21346,CPT,[],ALLOW,ok,
professional,63030,CPT,[],ALLOW,ok,
professional,66179,CPT,['U1'],ALLOW,ok,
professional,32553,CPT,['U1'],ALLOW,ok,
institutional,64763,CPT,[],ALLOW,ok,
professional,78472,CPT,['U1'],ALLOW,ok,
professional,82785,CPT,['26'],ALLOW,ok,
professional,J0642,HCPCS,[],ALLOW,ok,
professional,E2312,HCPCS,['RR'],ALLOW,ok,
professional,G2252,HCPCS,[],ALLOW,ok,
professional,86671,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,92557,CPT,['GQ'],ALLOW,ok,
institutional,028D3ZZ,ICD,[],ALLOW,ok,
professional,74445,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,G8404,HCPCS,[],ALLOW,ok,
institutional,0919T,CPT,[],ALLOW,ok,
institutional,53260,CPT,[],ALLOW,ok,
professional,26490,CPT,['U1'],ALLOW,ok,
professional,84085,CPT,['26'],ALLOW,ok,
professional,87660,CPT,['TC'],ALLOW,ok,
professional,88182,CPT,['TC'],ALLOW,ok,
professional,83037,CPT,['26'],ALLOW,ok,
professional,89322,CPT,['U1'],ALLOW,ok,
institutional,33875,CPT,[],ALLOW,ok,
professional,21422,CPT,['U1'],ALLOW,ok,
institutional,26390,CPT,[],ALLOW,ok,
professional,E0744,HCPCS,['KH'],ALLOW,ok,
institutional,0654,MS-DRG,[],ALLOW,ok,
institutional,25441,CPT,[],ALLOW,ok,
institutional,28750,CPT,[],ALLOW,ok,
institutional,25455,CPT,[],ALLOW,ok,
professional,11602,CPT,[],ALLOW,ok,
professional,22818,CPT,['U1'],ALLOW,ok,
institutional,0D164KL,ICD,[],ALLOW,ok,
institutional,28041,CPT,[],ALLOW,ok,
institutional,25350,CPT,[],ALLOW,ok,
institutional,28055,CPT,[],ALLOW,ok,
professional,24150,CPT,[],ALLOW,ok,
professional,19085,CPT,[],ALLOW,ok,
professional,78015,CPT,['TC'],ALLOW,ok,
professional,97535,CPT,['95'],ALLOW,ok,
professional,86704,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,20922,CPT,[],ALLOW,ok,
professional,93798,CPT,['TC'],ALLOW,ok,
professional,92538,CPT,['U1'],ALLOW,ok,
professional,25370,CPT,[],ALLOW,ok,
professional,91112,CPT,['U1'],ALLOW,ok,
professional,A4385,HCPCS,['NU'],ALLOW,ok,
professional,86038,CPT,[],ALLOW,ok,
professional,E2329,HCPCS,['RR'],ALLOW,ok,
professional,21557,CPT,['U1'],ALLOW,ok,
professional,80426,CPT,['26'],ALLOW,ok,
professional,94664,CPT,['TC'],ALLOW,ok,
professional,K0603,HCPCS,['NU'],ALLOW,ok,
professional,44202,CPT,[],ALLOW,ok,
professional,41510,CPT,[],ALLOW,ok,
professional,A6258,HCPCS,[],ALLOW,ok,
professional,86334,CPT,[],ALLOW,ok,
professional,77054,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,81015,CPT,['TC'],ALLOW,ok,
professional,71550,CPT,[],ALLOW,ok,
professional,65426,CPT,['U1'],ALLOW,ok,
professional,72081,CPT,['U1'],ALLOW,ok,
professional,73221,CPT,['TC'],ALLOW,ok,
professional,99350,CPT,['TC'],DENY,mod.pctc_no_split,modifier TC on a code with no professional/technical component split
professional,27257,CPT,['U1'],ALLOW,ok,
professional,63268,CPT,['U1'],ALLOW,ok,
professional,41850,CPT,[],ALLOW,ok,
professional,85260,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
institutional,35654,CPT,[],ALLOW,ok,
professional,A5126,HCPCS,[],ALLOW,ok,
professional,40814,CPT,['U1'],ALLOW,ok,
professional,A4311,HCPCS,['RR'],ALLOW,ok,
professional,23550,CPT,['U1'],ALLOW,ok,
professional,83500,CPT,['U1'],ALLOW,ok,
professional,61321,CPT,['U1'],ALLOW,ok,
professional,A9542,HCPCS,[],ALLOW,ok,
professional,25101,CPT,[],ALLOW,ok,
professional,87329,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,84703,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
institutional,DM20DZZ,ICD,[],ALLOW,ok,
institutional,35151,CPT,[],ALLOW,ok,
institutional,38240,CPT,[],ALLOW,ok,
professional,96371,CPT,['U1'],ALLOW,ok,
professional,83012,CPT,['TC'],ALLOW,ok,
professional,E0970,HCPCS,[],ALLOW,ok,
professional,35645,CPT,['U1'],ALLOW,ok,
institutional,0061,MS-DRG,[],ALLOW,ok,
professional,25250,CPT,['U1'],ALLOW,ok,
professional,87267,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,E0260,HCPCS,['RR'],ALLOW,ok,
professional,T4533,HCPCS,[],ALLOW,ok,
professional,77285,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,50120,CPT,[],ALLOW,ok,
institutional,35876,CPT,[],ALLOW,ok,
professional,L1110,HCPCS,['UE'],ALLOW,ok,
professional,80194,CPT,[],ALLOW,ok,
professional,J9179,HCPCS,[],ALLOW,ok,
institutional,B2041ZZ,ICD,[],ALLOW,ok,
professional,80438,CPT,['TC'],ALLOW,ok,
professional,88368,CPT,['TC'],ALLOW,ok,
professional,27086,CPT,['U1'],ALLOW,ok,
institutional,36680,CPT,[],ALLOW,ok,
professional,61340,CPT,[],ALLOW,ok,
professional,E2388,HCPCS,[],ALLOW,ok,
professional,40801,CPT,[],ALLOW,ok,
professional,G0498,HCPCS,[],ALLOW,ok,
professional,43282,CPT,[],ALLOW,ok,
professional,43415,CPT,['U1'],ALLOW,ok,
professional,L5782,HCPCS,[],ALLOW,ok,
professional,53000,CPT,['U1'],ALLOW,ok,
professional,L6682,HCPCS,['NU'],ALLOW,ok,
professional,L1630,HCPCS,['NU'],ALLOW,ok,
professional,99152,CPT,[],ALLOW,ok,
professional,E0705,HCPCS,['UE'],ALLOW,ok,
professional,E0940,HCPCS,['NU'],ALLOW,ok,
professional,64912,CPT,[],ALLOW,ok,
institutional,27440,CPT,[],ALLOW,ok,
professional,35560,CPT,[],ALLOW,ok,
professional,E2388,HCPCS,"['UE','KE']",ALLOW,ok,
institutional,0039,MS-DRG,[],ALLOW,ok,
professional,33820,CPT,['U1'],ALLOW,ok,
professional,21433,CPT,[],ALLOW,ok,
institutional,27454,CPT,[],ALLOW,ok,
professional,T1016,HCPCS,['U1'],ALLOW,ok,
institutional,27345,CPT,[],ALLOW,ok,
professional,76870,CPT,['26'],ALLOW,ok,
professional,35820,CPT,[],ALLOW,ok,
professional,45315,CPT,['U1'],ALLOW,ok,
professional,55700,CPT,['U1'],ALLOW,ok,
professional,64820,CPT,['U1'],ALLOW,ok,
professional,Q4328,HCPCS,[],ALLOW,ok,
professional,33229,CPT,[],ALLOW,ok,
professional,E0217,HCPCS,['26'],DENY,mod.pctc_no_split,modifier 26 on a code with no professional/technical component split
professional,E0968,HCPCS,['RR'],ALLOW,ok,
professional,12036,CPT,['U1'],ALLOW,ok,
professional,88387,CPT,[],ALLOW,ok,
professional,E0302,HCPCS,['MS'],ALLOW,ok,
professional,L5280,HCPCS,['RR'],ALLOW,ok,
professional,S9482,HCPCS,[],ALLOW,ok,
professional,J1456,HCPCS,[],ALLOW,ok,
institutional,DT22JZZ,ICD,[],ALLOW,ok,
professional,A7033,HCPCS,['UE'],ALLOW,ok,
professional,86830,CPT,['TC'],ALLOW,ok,
professional,28400,CPT,[],ALLOW,ok,
professional,27076,CPT,[],ALLOW,ok,
professional,E0294,HCPCS,['KI'],ALLOW,ok,
professional,77317,CPT,['U1'],ALLOW,ok,
professional,A4714,HCPCS,[],ALLOW,ok,
professional,99497,CPT,['95'],ALLOW,ok,
professional,35566,CPT,['U1'],ALLOW,ok,
professional,01486,CPT,[],ALLOW,ok,
professional,93724,CPT,['TC'],ALLOW,ok,
institutional,31805,CPT,[],ALLOW,ok,
professional,E0143,HCPCS,['RR'],ALLOW,ok,
professional,92584,CPT,['U1'],ALLOW,ok,
professional,L5617,HCPCS,[],ALLOW,ok,
professional,78266,CPT,['26'],ALLOW,ok,
professional,E2395,HCPCS,['RR'],ALLOW,ok,
professional,86155,CPT,['TC'],ALLOW,ok,
professional,E0942,HCPCS,['TC'],DENY,mod.pctc_no_split,modifier TC on a code with no professional/technical component split
professional,33266,CPT,['U1'],ALLOW,ok,
professional,95024,CPT,['TC'],ALLOW,ok,
professional,77605,CPT,['TC'],ALLOW,ok,
professional,94453,CPT,[],ALLOW,ok,
professional,86891,CPT,[],ALLOW,ok,
institutional,31633,CPT,[],ALLOW,ok,
professional,E0248,HCPCS,['NU'],ALLOW,ok,
institutional,31627,CPT,[],ALLOW,ok,
professional,36002,CPT,['U1'],ALLOW,ok,
