billing_class,billing_code,billing_code_type,billing_code_modifier,verdict,rule,reason
professional,0596T,CPT,[],ALLOW,ok,
professional,87147,CPT,['26'],ALLOW,ok,
professional,E0562,HCPCS,['RR'],ALLOW,ok,
professional,0542T,CPT,[],ALLOW,ok,
institutional,61000,CPT,[],ALLOW,ok,
professional,95117,CPT,['U1'],ALLOW,ok,
professional,E0297,HCPCS,['KH'],ALLOW,ok,
institutional,29720,CPT,[],ALLOW,ok,
professional,V2207,HCPCS,[],ALLOW,ok,
professional,90791,CPT,['UC'],ALLOW,ok,
professional,00144,CPT,[],ALLOW,ok,
professional,95872,CPT,['U1'],ALLOW,ok,
professional,A4623,HCPCS,[],ALLOW,ok,
institutional,0201,RC,[],ALLOW,ok,
professional,50328,CPT,['U1'],ALLOW,ok,
professional,35616,CPT,[],ALLOW,ok,
institutional,24320,CPT,[],ALLOW,ok,
institutional,13132,CPT,[],ALLOW,ok,
professional,27498,CPT,[],ALLOW,ok,
professional,90683,CPT,[],ALLOW,ok,
professional,E0149,HCPCS,['UE'],ALLOW,ok,
professional,43259,CPT,['U1'],ALLOW,ok,
institutional,29916,CPT,[],ALLOW,ok,
professional,E1639,HCPCS,[],ALLOW,ok,
institutional,49406,CPT,[],ALLOW,ok,
institutional,49412,CPT,[],ALLOW,ok,
professional,E0636,HCPCS,['26'],DENY,mod.pctc_no_split,modifier 26 on a code with no professional/technical component split
institutional,29902,CPT,[],ALLOW,ok,
professional,L5859,HCPCS,['NU'],ALLOW,ok,
professional,88233,CPT,['26'],ALLOW,ok,
professional,K0045,HCPCS,"['NU','UE','KE']",ALLOW,ok,
institutional,23020,CPT,[],ALLOW,ok,
professional,76100,CPT,['TC'],ALLOW,ok,
professional,0413T,CPT,[],ALLOW,ok,
institutional,0359,MS-DRG,[],ALLOW,ok,
professional,43888,CPT,[],ALLOW,ok,
professional,82397,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,Q4048,HCPCS,[],ALLOW,ok,
professional,E2322,HCPCS,['RR'],ALLOW,ok,
professional,75559,CPT,[],ALLOW,ok,
professional,99215,CPT,['TC'],DENY,mod.pctc_no_split,modifier TC on a code with no professional/technical component split
professional,15956,CPT,['U1'],ALLOW,ok,
professional,86641,CPT,['27'],DENY,mod.27_professional,modifier 27 (multiple outpatient hospital E/M) is UB-04 only
professional,92567,CPT,['GQ'],ALLOW,ok,
professional,K0608,HCPCS,['NU'],ALLOW,ok,
professional,93281,CPT,['U1'],ALLOW,ok,
professional,87650,CPT,['TC'],ALLOW,ok,
professional,E1092,HCPCS,['KJ'],ALLOW,ok,
professional,K0830,HCPCS,[],ALLOW,ok,
institutional,43312,CPT,[],ALLOW,ok,
institutional,D726DZZ,ICD,[],ALLOW,ok,
professional,88355,CPT,[],ALLOW,ok,
professional,29065,CPT,['58'],ALLOW,ok,
professional,97551,CPT,['G0'],ALLOW,ok,
institutional,0301,MS-DRG,[],ALLOW,ok,
professional,K0015,HCPCS,"['UE','NU','KE']",ALLOW,ok,
professional,01758,CPT,[],ALLOW,ok,
professional,78835,CPT,['TC'],ALLOW,ok,
institutional,0580T,CPT,[],ALLOW,ok,
professional,J9219,HCPCS,[],ALLOW,ok,
professional,Q4010,HCPCS,[],ALLOW,ok,
professional,0531T,CPT,[],ALLOW,ok,
professional,15847,CPT,[],ALLOW,ok,
professional,87804,CPT,['QW'],ALLOW,ok,
professional,59612,CPT,['U1'],ALLOW,ok,
professional,C1764,HCPCS,[],DENY,range.prof_c_code,C-codes are OPPS hospital-outpatient (institutional) only
professional,K0607,HCPCS,"['UE','NU','KF']",ALLOW,ok,
professional,54326,CPT,['U1'],ALLOW,ok,
institutional,31531,CPT,[],ALLOW,ok,
professional,98978,CPT,[],ALLOW,ok,
institutional,C1761,HCPCS,[],ALLOW,ok,
professional,K0868,HCPCS,[],ALLOW,ok,
institutional,31525,CPT,[],ALLOW,ok,
professional,E0601,HCPCS,['KH'],ALLOW,ok,
professional,83060,CPT,[],ALLOW,ok,
professional,92621,CPT,[],ALLOW,ok,
professional,E0431,HCPCS,[],ALLOW,ok,
professional,G8577,HCPCS,[],ALLOW,ok,
professional,33965,CPT,['U1'],ALLOW,ok,
professional,L6689,HCPCS,['NU'],ALLOW,ok,
institutional,33235,CPT,[],ALLOW,ok,
professional,98968,CPT,['95'],ALLOW,ok,
professional,K0863,HCPCS,['KJ'],ALLOW,ok,
professional,15776,CPT,[],ALLOW,ok,
institutional,OBS,CSTM-ALL,[],REVIEW,type.custom,"plan-specific custom code, not comparable across payers"
professional,ANS4,CSTM-ALL,[],REVIEW,type.custom,"plan-specific custom code, not comparable across payers"
institutional,33221,CPT,[],ALLOW,ok,
institutional,33518,CPT,[],ALLOW,ok,
institutional,69729,CPT,[],ALLOW,ok,
institutional,33530,CPT,[],ALLOW,ok,
professional,H2021,HCPCS,[],ALLOW,ok,
professional,E0640,HCPCS,['UE'],ALLOW,ok,
professional,0516U,CPT,[],ALLOW,ok,
institutional,0534,MS-DRG,[],ALLOW,ok,
professional,35700,CPT,['U1'],ALLOW,ok,
professional,30905,CPT,[],ALLOW,ok,
professional,E0469,HCPCS,[],ALLOW,ok,
professional,E0325,HCPCS,['RR'],ALLOW,ok,
professional,85345,CPT,['U1'],ALLOW,ok,
professional,96113,CPT,['95'],ALLOW,ok,
professional,25315,CPT,['U1'],ALLOW,ok,
institutional,0740,RC,[],ALLOW,ok,
professional,0434U,CPT,[],ALLOW,ok,
